chainage,true_wse,raster_value
0.0,237.987485388,237.9680023
0.2,237.987453764,237.9689941
0.4,237.987422153,237.9680023
0.6,237.987390555,237.9720001
0.8,237.987358971,238.0090027
1.0,237.9873274,238.2109985
1.2,237.987295843,238.2310028
1.4,237.987264299,238.3159943
1.6,237.987232769,238.3939972
1.6,237.987232769,238.223999
1.8,237.987201252,238.0350037
2.0,237.987169748,237.9190063
2.2,237.987138258,237.9779968
2.4,237.987106781,238.0829926
2.6,237.987075317,238.2089996
2.8,237.987043868,238.2350006
3.0,237.987012431,238.0769958
3.0,237.987012431,237.9629974
3.2,237.986981008,237.9259949
3.4,237.986949598,237.9450073
3.6,237.986918202,237.9320068
3.8,237.986886819,238.1040039
4.0,237.98685545,238.3609924
4.2,237.986824094,238.4819946
4.4,237.986792751,238.6380005
4.4,237.986792751,238.6710052
4.6,237.986761422,238.6799927
4.8,237.986730107,238.6009979
5.0,237.986698804,238.5330048
5.2,237.986667515,238.548996
5.4,237.98663624,238.7290039
5.6,237.986604978,238.3630066
5.8,237.986573729,238.3410034
6.0,237.986542494,238.3919983
6.2,237.986511273,238.4329987
6.4,237.986480064,238.4129944
6.6,237.986448869,238.4250031
6.8,237.986417688,238.4669952
7.0,237.98638652,238.4579926
7.2,237.986355365,238.2559967
7.4,237.986324224,238.5209961
7.6,237.986293097,238.6080017
7.8,237.986261982,238.6829987
8.0,237.986230881,238.4290009
8.2,237.986199794,238.4309998
8.4,237.98616872,238.4190063
8.6,237.986137659,238.3549957
8.8,237.986106612,238.4369965
9.0,237.986075578,238.4400024
9.2,237.986044558,238.0019989
9.4,237.986013551,238.0319977
9.6,237.985982558,237.9869995
9.8,237.985951578,238.1080017
10.0,237.985920611,238.2660065
10.0,237.985920611,238.378006
10.2,237.985889658,238.3580017
10.4,237.985858718,238.3410034
10.6,237.985827792,238.4029999
10.6,237.985827792,238.6179962
10.8,237.985796879,238.3730011
11.0,237.985765979,238.4179993
11.2,237.985735093,238.4519958
11.4,237.985704221,238.4349976
11.6,237.985673361,238.2720032
11.8,237.985642516,238.2189941
12.0,237.985611683,238.1940002
12.2,237.985580864,238.8200073
12.4,237.985550059,237.9459991
12.6,237.985519267,237.9880066
12.8,237.985488488,238.220993
13.0,237.985457723,238.5200043
13.2,237.985426971,238.5930023
13.4,237.985396232,238.5870056
13.6,237.985365508,238.4579926
13.8,237.985334796,238.4839935
14.0,237.985304098,238.5749969
14.2,237.985273413,238.6230011
14.4,237.985242742,238.7100067
14.6,237.985212084,238.8630066
14.8,237.98518144,238.7259979
15.0,237.985150809,238.7030029
15.2,237.985120191,238.7319946
15.4,237.985089587,238.7100067
15.6,237.985058996,238.5140076
15.8,237.985028419,238.6349945
16.0,237.984997855,238.5249939
16.2,237.984967305,238.4080048
16.4,237.984936768,238.3930054
16.6,237.984906244,238.4680023
16.8,237.984875734,238.4019928
17.0,237.984845237,238.3760071
17.0,237.984845237,238.4069977
17.2,237.984814754,238.3600006
17.4,237.984784284,238.2610016
17.6,237.984753828,238.2109985
17.8,237.984723385,238.2089996
18.0,237.984692955,238.1809998
18.2,237.984662539,238.2169952
18.4,237.984632136,238.0800018
18.6,237.984601747,238.3190002
18.8,237.984571371,238.2879944
19.0,237.984541008,238.0039978
19.2,237.984510659,238.147995
19.4,237.984480324,238.2680054
19.6,237.984450001,238.4349976
19.8,237.984419693,238.4459991
20.0,237.984389397,238.3829956
20.2,237.984359115,238.4559937
20.4,237.984328847,238.5449982
20.6,237.984298592,238.5709991
20.8,237.98426835,238.5789948
21.0,237.984238122,238.6719971
21.2,237.984207907,238.6600037
21.4,237.984177706,238.7059937
21.4,237.984177706,238.7400055
21.6,237.984147518,238.7570038
21.8,237.984117343,238.7250061
22.0,237.984087182,238.8249969
22.2,237.984057035,238.753006
22.4,237.9840269,238.7879944
22.6,237.98399678,238.7579956
22.8,237.983966672,238.6849976
23.0,237.983936578,238.6670074
23.2,237.983906498,238.6900024
23.4,237.983876431,238.7109985
23.6,237.983846377,238.6620026
23.8,237.983816337,238.75
24.0,237.98378631,238.7649994
24.2,237.983756296,238.6380005
24.4,237.983726296,238.602005
24.6,237.98369631,238.5429993
24.8,237.983666337,238.4949951
25.0,237.983636377,238.6080017
25.2,237.983606431,238.4810028
25.4,237.983576498,238.2089996
25.6,237.983546578,237.9429932
25.8,237.983516672,237.9450073
26.0,237.98348678,237.9519958
26.2,237.983456901,237.973999
26.4,237.983427035,238.0839996
26.6,237.983397183,238.2169952
26.8,237.983367344,238.3430023
27.0,237.983337518,238.3739929
27.2,237.983307706,238.5079956
27.4,237.983277908,238.5650024
27.6,237.983248122,238.6190033
27.8,237.983218351,238.6289978
28.0,237.983188592,238.7230072
28.2,237.983158847,238.7649994
28.4,237.983129116,238.8049927
28.6,237.983099398,238.7920074
28.8,237.983069693,238.8049927
29.0,237.983040002,238.7510071
29.2,237.983010324,238.7649994
29.4,237.98298066,238.7140045
29.6,237.982951009,238.6450043
29.8,237.982921372,238.6940002
30.0,237.982891747,238.2230072
30.2,237.982862137,238.2539978
30.4,237.98283254,238.1049957
30.6,237.982802956,238.1909943
30.8,237.982773385,238.147995
31.0,237.982743828,237.9459991
31.2,237.982714285,237.9889984
31.4,237.982684755,238.0590057
31.6,237.982655238,238.2449951
31.8,237.982625735,238.0740051
32.0,237.982596245,238.1170044
32.2,237.982566769,237.9400024
32.4,237.982537306,238.0410004
32.4,237.982537306,238.427002
32.6,237.982507856,238.4450073
32.8,237.98247842,238.302002
33.0,237.982448997,238.2489929
33.2,237.982419588,238.2969971
33.4,237.982390192,238.2330017
33.6,237.98236081,238.3339996
33.8,237.982331441,238.4060059
34.0,237.982302085,238.470993
34.2,237.982272743,238.4140015
34.4,237.982243415,238.5079956
34.6,237.982214099,238.7200012
34.8,237.982184797,237.9660034
35.0,237.982155509,237.9649963
35.2,237.982126234,238.0639954
35.4,237.982096972,238.0359955
35.6,237.982067724,238.0850067
35.8,237.982038489,238.0970001
36.0,237.982009268,238.029007
36.2,237.98198006,237.9830017
36.4,237.981950866,237.9620056
36.6,237.981921685,237.9349976
36.6,237.981921685,237.9309998
36.8,237.981892517,237.9790039
37.0,237.981863363,238.0200043
37.2,237.981834222,237.9640045
37.4,237.981805095,237.9909973
37.6,237.981775981,237.951004
37.8,237.981746881,237.9450073
38.0,237.981717794,237.9499969
38.2,237.98168872,237.9380035
38.4,237.98165966,237.9329987
38.4,237.98165966,237.9400024
38.6,237.981630613,237.9570007
38.8,237.98160158,237.9329987
39.0,237.98157256,237.9759979
39.2,237.981543553,237.9600067
39.2,237.981543553,237.9409943
39.4,237.98151456,237.9550018
39.6,237.98148558,237.9320068
39.8,237.981456614,237.9290009
40.0,237.981427661,237.9389954
40.2,237.981398722,237.9660034
40.4,237.981369796,237.9889984
40.6,237.981340884,237.9570007
40.6,237.981340884,237.9380035
40.8,237.981311984,237.9369965
41.0,237.981283099,237.9700012
41.2,237.981254227,237.9830017
41.4,237.981225368,238.3450012
41.6,237.981196522,238.25
41.8,237.98116769,238.3730011
42.0,237.981138872,238.4340057
42.2,237.981110067,238.3350067
42.4,237.981081275,238.197998
42.6,237.981052497,238.1340027
42.8,237.981023732,237.9819946
43.0,237.980994981,237.9759979
43.2,237.980966243,237.9450073
43.4,237.980937518,237.9700012
43.6,237.980908807,237.9589996
43.8,237.980880109,238.1419983
44.0,237.980851425,238.2089996
44.2,237.980822754,238.026001
44.2,237.980822754,238.7890015
44.4,237.980794097,238.7290039
44.6,237.980765453,237.951004
44.8,237.980736822,237.951004
45.0,237.980708205,237.9539948
45.2,237.980679601,237.9600067
45.4,237.980651011,237.9779968
45.6,237.980622434,237.9960022
45.8,237.98059387,238.0189972
46.0,237.98056532,238.0050049
46.2,237.980536784,238.0570068
46.4,237.980508261,237.9669952
46.6,237.980479751,237.9440002
46.8,237.980451255,237.9530029
47.0,237.980422772,237.9380035
47.2,237.980394302,237.9360046
47.4,237.980365846,237.9389954
47.4,237.980365846,237.9440002
47.6,237.980337403,237.947998
47.8,237.980308974,237.9519958
48.0,237.980280559,237.9550018
48.2,237.980252156,237.9579926
48.4,237.980223767,237.9539948
48.4,237.980223767,237.9589996
48.6,237.980195392,238.0010071
48.8,237.98016703,238.0209961
49.0,237.980138681,237.9380035
49.2,237.980110346,237.9470062
49.4,237.980082024,237.9329987
49.6,237.980053716,237.9299927
49.8,237.980025421,237.9429932
49.8,237.980025421,237.9600067
50.0,237.979997139,237.9519958
50.2,237.979968871,237.9490051
50.4,237.979940616,237.9689941
50.6,237.979912375,237.9909973
50.8,237.979884147,237.9669952
51.0,237.979855933,237.9559937
51.2,237.979827732,238.0220032
51.4,237.979799544,237.9519958
51.6,237.97977137,237.9490051
51.8,237.97974321,238.3090057
52.0,237.979715062,237.9409943
52.2,237.979686929,237.9409943
52.4,237.979658808,238.4459991
52.6,237.979630701,238.3549957
52.8,237.979602608,237.9700012
53.0,237.979574527,237.9389954
53.2,237.979546461,237.9470062
53.4,237.979518407,237.9570007
53.6,237.979490368,237.9620056
53.8,237.979462341,237.9750061
54.0,237.979434328,237.9499969
54.2,237.979406329,237.9750061
54.4,237.979378342,237.9799957
54.6,237.97935037,238.0090027
54.8,237.97932241,238.272995
55.0,237.979294464,237.9550018
55.2,237.979266532,238.1340027
55.4,237.979238613,237.9539948
55.6,237.979210707,237.9839935
55.8,237.979182815,237.947998
55.8,237.979182815,237.951004
56.0,237.979154936,237.996994
56.2,237.979127071,238.0610046
56.4,237.979099219,238.0720062
56.6,237.979071381,238.7660065
56.8,237.979043556,238.8339996
57.0,237.979015744,238.7920074
57.2,237.978987946,238.7640076
57.4,237.978960161,238.477005
57.6,237.97893239,238.4730072
57.8,237.978904632,238.4940033
58.0,237.978876887,238.5079956
58.2,237.978849156,238.2779999
58.4,237.978821439,238.1640015
58.6,237.978793734,238.0540009
58.8,237.978766044,238.0
59.0,237.978738366,238.0039978
59.2,237.978710702,238.0180054
59.4,237.978683052,238.3509979
59.4,237.978683052,238.6369934
59.6,237.978655415,238.3589935
59.8,237.978627791,238.2689972
60.0,237.978600181,238.352005
60.2,237.978572584,238.3370056
60.4,237.978545001,237.9989929
60.6,237.978517431,238.0070038
60.8,237.978489874,237.973999
61.0,237.978462331,238.0740051
61.2,237.978434801,238.2100067
61.4,237.978407285,238.1529999
61.6,237.978379782,238.0440063
61.6,237.978379782,238.0119934
61.8,237.978352293,238.0829926
62.0,237.978324817,238.2460022
62.2,237.978297354,238.1849976
62.4,237.978269905,238.0420074
62.6,237.978242469,238.048996
62.8,237.978215047,238.0690002
63.0,237.978187638,238.0709991
63.2,237.978160243,238.1109924
63.4,237.978132861,238.1690063
63.4,237.978132861,238.1000061
63.6,237.978105492,238.0839996
63.8,237.978078137,238.0359955
64.0,237.978050795,238.0399933
64.2,237.978023467,238.0110016
64.4,237.977996152,238.0079956
64.6,237.977968851,238.1569977
64.8,237.977941563,238.1809998
65.0,237.977914288,238.0700073
65.2,237.977887027,238.0639954
65.4,237.977859779,238.1470032
65.6,237.977832545,238.1799927
65.8,237.977805324,238.1179962
66.0,237.977778116,238.5890045
66.2,237.977750922,238.3690033
66.4,237.977723742,238.2200012
66.6,237.977696574,238.1139984
66.8,237.977669421,238.0690002
67.0,237.97764228,238.1529999
67.2,237.977615153,238.0590057
67.4,237.97758804,238.4980011
67.6,237.97756094,238.4559937
67.8,237.977533853,238.4689941
68.0,237.97750678,238.3589935
68.2,237.97747972,238.2050018
68.4,237.977452674,238.4069977
68.6,237.977425641,238.0579987
68.8,237.977398621,238.1589966
69.0,237.977371615,238.1340027
69.2,237.977344623,238.0679932
69.4,237.977317643,238.0410004
69.6,237.977290677,238.0939941
69.8,237.977263725,238.0700073
70.0,237.977236786,238.2299957
70.2,237.977209861,238.4499969
70.4,237.977182948,238.4669952
70.6,237.97715605,238.470993
70.8,237.977129165,238.326004
71.0,237.977102293,238.0220032
71.0,237.977102293,237.9779968
71.2,237.977075434,238.0590057
71.4,237.977048589,238.0780029
71.6,237.977021758,238.0780029
71.8,237.97699494,238.048996
72.0,237.976968135,237.9889984
72.2,237.976941344,237.9579926
72.4,237.976914566,237.9669952
72.59999999999998,237.976887801,237.9550018
72.79999999999998,237.97686105,237.9689941
73.0,237.976834313,237.9559937
73.2,237.976807589,237.9989929
73.4,237.976780878,237.9960022
73.59999999999998,237.97675418,237.9920044
73.79999999999998,237.976727497,238.5670013
74.0,237.976700826,238.0509949
74.2,237.976674169,238.177002
74.4,237.976647526,238.0370026
74.4,237.976647526,237.9909973
74.59999999999998,237.976620895,238.0310059
74.79999999999998,237.976594279,238.072998
75.0,237.976567675,238.0829926
75.2,237.976541085,238.1080017
75.4,237.976514509,238.1269989
75.59999999999998,237.976487946,238.048996
75.79999999999998,237.976461396,238.0570068
76.0,237.97643486,238.1649933
76.2,237.976408337,238.1390076
76.4,237.976381828,237.9889984
76.59999999999998,237.976355332,238.0310059
76.79999999999998,237.976328849,237.9620056
77.0,237.97630238,237.9660034
77.2,237.976275925,238.0240021
77.4,237.976249482,237.970993
77.59999999999998,237.976223054,237.9389954
77.79999999999998,237.976196638,237.9570007
78.0,237.976170236,237.9579926
78.2,237.976143848,237.9640045
78.4,237.976117473,238.0200043
78.59999999999998,237.976091111,238.0559998
78.79999999999998,237.976064763,238.0650024
79.0,237.976038428,237.9720001
79.2,237.976012107,238.0310059
79.4,237.975985799,237.9889984
79.59999999999998,237.975959504,238.0350037
79.59999999999998,237.975959504,238.0050049
79.79999999999998,237.975933223,238.0449982
80.0,237.975906955,238.0180054
80.2,237.975880701,238.0399933
80.4,237.97585446,238.2920074
80.59999999999998,237.975828233,238.0379944
80.79999999999998,237.975802019,237.9360046
81.0,237.975775818,238.1150055
81.2,237.975749631,238.125
81.4,237.975723457,238.1309967
81.59999999999998,237.975697297,238.3280029
81.79999999999998,237.97567115,238.4080048
82.0,237.975645017,238.4689941
82.2,237.975618897,238.6080017
82.4,237.97559279,238.5749969
82.4,237.97559279,238.5970001
82.59999999999998,237.975566697,238.4160004
82.79999999999998,237.975540617,238.1679993
83.0,237.975514551,238.2120056
83.2,237.975488498,237.9539948
83.4,237.975462459,237.9539948
83.59999999999998,237.975436433,237.9320068
83.79999999999998,237.97541042,237.9380035
84.0,237.975384421,237.9420013
84.2,237.975358435,237.9380035
84.4,237.975332463,237.9340057
84.59999999999998,237.975306504,237.9340057
84.79999999999998,237.975280558,237.9369965
84.79999999999998,237.975280558,237.9369965
85.0,237.975254626,237.9340057
85.2,237.975228708,237.9360046
85.4,237.975202803,237.9609985
85.59999999999998,237.975176911,238.3849945
85.79999999999998,237.975151032,238.3890076
86.0,237.975125167,238.2079926
86.2,237.975099316,238.4299927
86.4,237.975073478,238.1399994
86.59999999999998,237.975047653,237.9819946
86.79999999999998,237.975021842,237.9720001
87.0,237.974996044,238.0
87.2,237.97497026,237.9779968
87.4,237.974944489,237.9499969
87.59999999999998,237.974918731,237.9660034
87.79999999999998,237.974892987,238.0070038
88.0,237.974867257,237.9909973
88.2,237.974841539,237.9400024
88.4,237.974815836,238.102005
88.59999999999998,237.974790145,237.9720001
88.79999999999998,237.974764468,237.9420013
89.0,237.974738805,237.9579926
89.2,237.974713155,238.6300049
89.4,237.974687518,237.9660034
89.59999999999998,237.974661895,237.9589996
89.79999999999998,237.974636285,238.4199982
90.0,237.974610688,238.477005
