chainage,true_wse,raster_value
32.2,237.982566769,238.003006
32.4,237.982537306,238.0039978
32.6,237.982507856,238.0209961
32.8,237.98247842,238.0099945
33.0,237.982448997,238.3919983
33.2,237.982419588,238.4230042
33.4,237.982390192,238.8370056
33.6,237.98236081,238.848999
33.8,237.982331441,238.8059998
34.0,237.982302085,238.6390076
34.2,237.982272743,238.503006
34.4,237.982243415,238.397995
34.6,237.982214099,238.477005
34.8,237.982184797,238.2610016
35.0,237.982155509,238.1629944
35.2,237.982126234,238.1040039
35.4,237.982096972,238.076004
35.6,237.982067724,238.0829926
35.8,237.982038489,238.0420074
36.0,237.982009268,238.1210022
36.2,237.98198006,238.529007
36.4,237.981950866,238.5390015
36.6,237.981921685,238.5429993
36.8,237.981892517,238.3930054
37.0,237.981863363,238.3430023
37.2,237.981834222,238.2619934
37.4,237.981805095,237.9750061
37.6,237.981775981,237.9629974
37.8,237.981746881,237.9790039
38.0,237.981717794,237.9450073
38.2,237.98168872,237.9559937
38.4,237.98165966,237.973999
38.6,237.981630613,237.9720001
38.8,237.98160158,237.8869934
39.0,237.98157256,237.9140015
39.2,237.981543553,237.9340057
39.4,237.98151456,237.8829956
39.6,237.98148558,237.9179993
39.8,237.981456614,237.8860016
40.0,237.981427661,237.8789978
40.2,237.981398722,237.878006
40.4,237.981369796,237.8829956
40.6,237.981340884,237.8540039
40.8,237.981311984,237.7740021
41.0,237.981283099,237.802002
41.2,237.981254227,237.8500061
41.4,237.981225368,237.9929962
41.6,237.981196522,238.3269958
41.8,237.98116769,238.526001
42.0,237.981138872,238.5440063
42.2,237.981110067,238.0279999
42.4,237.981081275,237.9589996
42.6,237.981052497,237.9060059
42.8,237.981023732,237.9299927
43.0,237.980994981,237.9179993
43.2,237.980966243,237.8849945
43.4,237.980937518,237.9290009
43.6,237.980908807,237.8390045
43.8,237.980880109,238.0110016
44.0,237.980851425,237.9929962
44.2,237.980822754,237.8560028
44.4,237.980794097,237.8990021
44.6,237.980765453,237.9420013
44.8,237.980736822,237.9819946
45.0,237.980708205,237.8869934
45.2,237.980679601,237.8739929
45.4,237.980651011,237.8419952
45.6,237.980622434,237.845993
45.8,237.98059387,237.8379974
46.0,237.98056532,237.8769989
46.2,237.980536784,237.8509979
46.4,237.980508261,237.8619995
46.6,237.980479751,237.8569946
46.8,237.980451255,237.8800049
47.0,237.980422772,237.8670044
47.2,237.980394302,237.8560028
47.4,237.980365846,237.8500061
47.6,237.980337403,237.8430023
47.8,237.980308974,237.845993
48.0,237.980280559,237.8450012
48.2,237.980252156,237.8320007
48.4,237.980223767,237.8390045
48.6,237.980195392,237.8399963
48.8,237.98016703,237.8569946
49.0,237.980138681,237.8970032
49.2,237.980110346,237.9299927
49.4,237.980082024,237.8630066
49.6,237.980053716,237.8540039
49.8,237.980025421,237.8560028
50.0,237.979997139,237.8450012
50.2,237.979968871,237.871994
50.4,237.979940616,237.8840027
50.6,237.979912375,237.8540039
50.8,237.979884147,237.8860016
51.0,237.979855933,237.8659973
51.2,237.979827732,237.8220062
51.4,237.979799544,237.8470001
51.6,237.97977137,237.875
51.8,237.97974321,237.8820038
52.0,237.979715062,237.9759979
52.2,237.979686929,237.8869934
52.4,237.979658808,237.9349976
52.6,237.979630701,237.9179993
52.8,237.979602608,237.8959961
53.0,237.979574527,237.9429932
53.2,237.979546461,237.9329987
53.4,237.979518407,237.9279938
53.6,237.979490368,237.9149933
53.8,237.979462341,237.8439941
54.0,237.979434328,237.8529968
54.2,237.979406329,237.779007
54.4,237.979378342,237.8220062
54.6,237.97935037,237.8009949
54.8,237.97932241,237.822998
55.0,237.979294464,237.8619995
55.2,237.979266532,237.8890076
55.4,237.979238613,237.8609924
55.6,237.979210707,237.8710022
55.8,237.979182815,237.8899994
56.0,237.979154936,237.8950043
56.2,237.979127071,237.8939972
56.4,237.979099219,237.8999939
56.6,237.979071381,237.9689941
56.8,237.979043556,237.9629974
57.0,237.979015744,237.8910065
57.2,237.978987946,237.8789978
57.4,237.978960161,237.878006
57.6,237.97893239,237.9290009
57.8,237.978904632,237.9570007
58.0,237.978876887,237.9689941
58.2,237.978849156,237.9450073
58.4,237.978821439,237.9420013
58.6,237.978793734,237.9459991
58.8,237.978766044,237.9519958
59.0,237.978738366,237.9380035
59.2,237.978710702,237.9530029
59.4,237.978683052,237.9490051
59.6,237.978655415,237.9360046
59.8,237.978627791,237.9329987
60.0,237.978600181,237.9369965
60.2,237.978572584,237.9329987
60.4,237.978545001,237.9290009
60.6,237.978517431,237.9369965
60.8,237.978489874,237.9369965
61.0,237.978462331,237.9360046
61.2,237.978434801,237.9409943
61.4,237.978407285,237.9470062
61.6,237.978379782,237.9290009
61.8,237.978352293,237.9380035
62.0,237.978324817,237.9470062
62.2,237.978297354,237.9329987
62.4,237.978269905,237.9309998
62.6,237.978242469,237.9380035
62.8,237.978215047,237.9579926
63.0,237.978187638,237.9409943
63.2,237.978160243,237.9440002
63.4,237.978132861,238.2019958
63.6,237.978105492,237.970993
63.8,237.978078137,238.1289978
64.0,237.978050795,238.0469971
64.2,237.978023467,237.8899994
64.4,237.977996152,237.8789978
64.6,237.977968851,237.8959961
64.8,237.977941563,237.8869934
65.0,237.977914288,237.8930054
65.2,237.977887027,237.9140015
65.4,237.977859779,237.9669952
65.6,237.977832545,237.9559937
65.8,237.977805324,237.9329987
66.0,237.977778116,237.9250031
66.2,237.977750922,237.9199982
66.4,237.977723742,237.927002
66.6,237.977696574,237.927002
66.8,237.977669421,237.9279938
67.0,237.97764228,237.9290009
67.2,237.977615153,237.9530029
67.4,237.97758804,237.9409943
