chainage,true_wse,raster_value
50.0,212.695031873,212.6647186
49.9,212.695093258,212.6759796
49.9,212.695093258,212.660202
49.8,212.695154647,212.6878357
49.7,212.69521604,212.6149445
49.6,212.695277438,212.6338959
49.5,212.69533884,212.9021759
49.4,212.695400246,212.97052
49.3,212.695461656,212.7557983
49.3,212.695461656,212.7724304
49.3,212.695461656,212.8175812
49.2,212.695523071,212.7040405
49.1,212.69558449,212.6837463
49.0,212.695645913,212.6760559
48.9,212.69570734,212.667923
48.8,212.695768772,212.6916046
48.7,212.695830207,212.7224121
48.6,212.695891647,212.7216949
48.5,212.695953092,212.7180176
48.4,212.69601454,212.7261353
48.3,212.696075993,212.7415924
48.2,212.69613745,212.7218018
48.2,212.69613745,212.7388306
48.1,212.696198911,212.7467804
48.1,212.696198911,212.7485962
48.1,212.696198911,212.7443542
48.1,212.696198911,212.7209778
48.1,212.696198911,212.7309265
48.1,212.696198911,212.7515106
48.1,212.696198911,212.7483368
48.1,212.696198911,212.7258301
48.0,212.696260377,212.7244873
47.9,212.696321846,212.7169342
47.8,212.69638332,212.6847382
47.7,212.696444799,212.7118835
47.6,212.696506281,212.6824493
47.5,212.696567768,212.6526337
47.4,212.696629258,212.6751099
47.3,212.696690753,212.6433563
47.2,212.696752253,212.5617676
47.1,212.696813756,212.5588531
47.0,212.696875264,212.5445862
47.0,212.696875264,212.5669708
46.9,212.696936776,212.1995087
46.9,212.696936776,212.2196655
46.9,212.696936776,212.4402924
46.8,212.696998292,212.3766174
46.8,212.696998292,212.3033752
46.7,212.697059812,212.3898468
46.6,212.697121336,212.3921051
46.6,212.697121336,212.3781128
46.5,212.697182865,212.4308624
46.4,212.697244398,212.597229
46.3,212.697305935,212.8090057
46.2,212.697367476,212.8127594
46.1,212.697429022,212.781601
46.0,212.697490571,212.7440491
45.9,212.697552125,212.7502747
45.8,212.697613683,212.7440796
45.7,212.697675245,212.7865601
45.6,212.697736812,212.8195648
45.5,212.697798382,212.8087616
45.4,212.697859957,212.7501678
45.3,212.697921536,212.7283478
45.2,212.697983119,212.7031403
45.2,212.697983119,212.6920471
45.1,212.698044706,212.7121735
45.0,212.698106297,212.7338562
44.9,212.698167893,212.8156433
44.9,212.698167893,212.8027954
44.8,212.698229493,212.784729
44.7,212.698291097,212.7529297
44.6,212.698352705,212.7444153
44.5,212.698414317,212.7555237
44.4,212.698475933,212.7546234
44.3,212.698537554,212.7453766
44.2,212.698599178,212.7873077
44.2,212.698599178,212.7453766
44.1,212.698660807,212.7489319
44.0,212.69872244,212.7459564
43.9,212.698784077,212.7029266
43.9,212.698784077,212.7200775
43.8,212.698845718,212.6905518
43.7,212.698907364,212.6927643
43.6,212.698969013,212.7168427
43.5,212.699030667,212.7207489
43.4,212.699092325,212.5854797
43.4,212.699092325,212.6883545
43.3,212.699153987,212.5488892
43.2,212.699215653,212.5760498
43.1,212.699277323,212.5808105
43.0,212.699338997,212.5829163
42.9,212.699400675,212.5727081
42.8,212.699462358,212.6436005
42.7,212.699524045,212.6273804
42.6,212.699585735,212.6690216
42.5,212.69964743,212.6897888
42.5,212.69964743,212.6912537
42.4,212.699709129,212.6872864
42.3,212.699770832,212.762085
42.2,212.699832539,212.7156219
42.1,212.699894251,212.7316589
42.0,212.699955966,212.7362061
41.9,212.700017686,212.7532654
41.8,212.700079409,212.6951447
41.7,212.700141137,212.6834106
41.6,212.700202869,212.6526642
41.5,212.700264605,212.6140289
41.4,212.700326345,212.5879364
41.3,212.700388089,212.6463165
41.3,212.700388089,212.611618
41.2,212.700449837,212.6521149
41.1,212.700511589,212.6565094
41.0,212.700573346,212.6029358
41.0,212.700573346,212.6552887
40.9,212.700635106,212.6723328
40.9,212.700635106,212.6173096
40.8,212.700696871,212.6807251
40.8,212.700696871,212.7226715
40.7,212.700758639,212.7175446
40.6,212.700820412,212.7574158
40.6,212.700820412,212.7545929
40.5,212.700882188,212.7158813
40.5,212.700882188,212.7341003
40.4,212.700943969,212.6555023
40.4,212.700943969,212.6649475
40.4,212.700943969,212.7008514
40.3,212.701005754,212.6670532
40.2,212.701067543,212.6797943
40.1,212.701129336,212.6845856
40.0,212.701191133,212.6776886
40.0,212.701191133,212.6743317
39.9,212.701252934,212.6913452
39.8,212.701314739,212.687973
39.7,212.701376549,212.7010956
39.6,212.701438362,212.7013245
39.5,212.701500179,212.766098
39.4,212.701562,212.7583771
39.3,212.701623826,212.7583923
39.2,212.701685655,212.9087067
39.1,212.701747489,212.9391785
39.0,212.701809326,212.7163086
38.9,212.701871168,212.675766
38.8,212.701933014,212.66185
38.7,212.701994863,212.6438599
38.6,212.702056717,212.6329193
38.5,212.702118575,212.6771088
38.4,212.702180436,212.6876984
38.3,212.702242302,212.7127533
38.2,212.702304172,212.7286224
38.1,212.702366046,212.7186737
38.0,212.702427924,212.7297974
37.9,212.702489805,212.7345276
37.8,212.702551691,212.7507019
37.7,212.702613581,212.7246704
37.6,212.702675475,212.7340546
37.5,212.702737373,212.7629852
37.4,212.702799275,212.7521973
37.3,212.702861181,212.7105103
37.3,212.702861181,212.7611084
37.2,212.702923091,212.688736
37.1,212.702985005,212.5871277
37.0,212.703046923,212.5823059
36.9,212.703108845,212.5565338
36.8,212.70317077,212.5596161
36.7,212.7032327,212.6628571
36.6,212.703294634,212.7120667
36.5,212.703356572,212.7215271
36.4,212.703418514,212.7153015
36.3,212.70348046,212.7039795
36.2,212.70354241,212.6942139
36.1,212.703604363,212.6828766
