chainage,true_wse,raster_value
0.0,212.610646743,212.4309998
0.1,212.610552395,212.4210052
0.2,212.610458043,212.4250031
0.3,212.610363688,212.4100037
0.4,212.610269328,212.4019928
0.5,212.610174965,212.4029999
0.6,212.610080597,212.3990021
0.7,212.609986226,212.3869934
0.8,212.609891851,212.3710022
0.9,212.609797471,212.3849945
1.0,212.609703088,212.3910065
1.1,212.609608701,212.3849945
1.2,212.60951431,212.3659973
1.3,212.609419915,212.3619995
1.4,212.609325517,212.3739929
1.5,212.609231114,212.3820038
1.6,212.609136707,212.3860016
1.7,212.609042296,212.3739929
1.8,212.608947882,212.371994
1.9,212.608853463,212.3639984
2.0,212.608759041,212.3650055
2.1,212.608664615,212.371994
2.2,212.608570185,212.3560028
2.3,212.60847575,212.3670044
2.4,212.608381312,212.378006
2.5,212.60828687,212.378006
2.6,212.608192424,212.3670044
2.7,212.608097974,212.3730011
2.8,212.608003521,212.3560028
2.9,212.607909063,212.375
3.0,212.607814601,212.3860016
3.1,212.607720136,212.3789978
3.2,212.607625666,212.3809967
3.3,212.607531193,212.3730011
3.4,212.607436715,212.371994
3.5,212.607342234,212.3690033
3.6,212.607247749,212.3730011
3.7,212.60715326,212.378006
3.8,212.607058767,212.371994
3.9,212.60696427,212.3760071
4.0,212.606869769,212.3739929
4.1,212.606775264,212.3710022
4.2,212.606680755,212.3809967
4.3,212.606586242,212.378006
4.4,212.606491726,212.3650055
4.5,212.606397205,212.3569946
4.6,212.606302681,212.3529968
4.7,212.606208152,212.3609924
4.8,212.60611362,212.3699951
4.9,212.606019084,212.3639984
5.0,212.605924544,212.3540039
5.1,212.605829999,212.3410034
5.2,212.605735451,212.3289948
5.3,212.605640899,212.3379974
5.4,212.605546344,212.345993
5.5,212.605451784,212.3439941
5.6,212.60535722,212.352005
5.7,212.605262652,212.3580017
5.8,212.605168081,212.3450012
5.9,212.605073505,212.3630066
6.0,212.604978926,212.3699951
6.1,212.604884342,212.3860016
6.2,212.604789755,212.4069977
6.3,212.604695164,212.4340057
6.4,212.604600569,212.4539948
6.5,212.60450597,212.4309998
6.6,212.604411367,212.4219971
6.7,212.60431676,212.3890076
6.8,212.604222149,212.3800049
6.9,212.604127534,212.3589935
7.0,212.604032915,212.3560028
7.1,212.603938293,212.3509979
7.2,212.603843666,212.352005
7.3,212.603749036,212.3529968
7.4,212.603654401,212.3549957
7.5,212.603559763,212.3589935
7.6,212.603465121,212.3569946
7.7,212.603370474,212.3549957
7.8,212.603275824,212.3630066
7.9,212.60318117,212.3569946
8.0,212.603086512,212.3540039
8.1,212.60299185,212.3470001
8.2,212.602897185,212.3480072
8.3,212.602802515,212.3329926
8.4,212.602707841,212.3390045
8.5,212.602613163,212.3450012
8.6,212.602518482,212.3419952
8.7,212.602423796,212.3289948
8.8,212.602329107,212.3240051
8.9,212.602234414,212.3119965
9.0,212.602139717,212.3150024
9.1,212.602045015,212.3410034
9.2,212.60195031,212.3410034
9.3,212.601855601,212.3300018
9.4,212.601760888,212.3560028
9.5,212.601666171,212.3580017
9.6,212.601571451,212.3430023
9.7,212.601476726,212.3529968
9.8,212.601381997,212.3659973
9.9,212.601287265,212.352005
10.0,212.601192528,212.3710022
10.1,212.601097788,212.3959961
10.2,212.601003043,212.4170074
10.3,212.600908295,212.4250031
10.4,212.600813543,212.4029999
10.5,212.600718787,212.4100037
10.6,212.600624027,212.3829956
10.7,212.600529263,212.3500061
10.8,212.600434495,212.3549957
10.9,212.600339723,212.3840027
11.0,212.600244947,212.3849945
11.1,212.600150168,212.397995
11.2,212.600055384,212.397995
11.3,212.599960596,212.4210052
11.4,212.599865805,212.4499969
11.5,212.59977101,212.4940033
11.6,212.59967621,212.4900055
11.7,212.599581407,212.4859924
11.8,212.5994866,212.477005
11.9,212.599391789,212.4600067
12.0,212.599296974,212.4290009
12.1,212.599202155,212.3809967
12.2,212.599107332,212.3430023
12.3,212.599012505,212.3540039
12.4,212.598917674,212.3509979
12.5,212.59882284,212.3390045
12.6,212.598728001,212.3379974
12.7,212.598633159,212.345993
12.8,212.598538312,212.3320007
12.9,212.598443462,212.3079987
13.0,212.598348607,212.3119965
13.1,212.598253749,212.2810059
13.2,212.598158887,212.2870026
13.3,212.598064021,212.2899933
13.4,212.597969151,212.272995
13.5,212.597874277,212.2799988
13.6,212.597779399,212.2839966
13.7,212.597684517,212.2810059
13.8,212.597589632,212.3130035
13.9,212.597494742,212.322998
14.0,212.597399849,212.3300018
14.1,212.597304951,212.3399963
14.2,212.59721005,212.345993
14.3,212.597115144,212.3450012
14.4,212.597020235,212.3509979
14.5,212.596925322,212.3370056
14.6,212.596830405,212.3209991
14.7,212.596735484,212.3430023
14.8,212.596640559,212.3509979
